city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,experience_is_missing,education_level_is_missing,last_new_job_is_missing,company_size_is_missing,gender_is_missing,enrolled_university_is_missing,major_discipline_is_missing,company_type_is_missing
0.776,1,1,0,3,1,0,5,4,1,65,0,0,0,0,0,0,0,0,0
0.624,1,1,0,3,4,5,5,4,1,13,0,0,0,0,0,1,0,0,0
0.855,1,0,0,2,2,4,3,2,0,22,0,0,0,0,1,1,0,1,1
0.624,1,1,1,3,4,14,4,4,1,148,1,0,0,0,0,1,0,0,0
0.92,1,1,0,3,2,5,3,2,2,72,0,0,0,0,1,0,0,0,1
0.887,1,1,0,2,2,11,0,4,1,8,1,0,0,0,0,0,0,1,0
0.624,1,1,0,3,4,18,2,3,2,68,1,0,0,0,0,0,0,0,0
0.92,1,1,0,3,4,21,3,4,3,40,0,0,0,0,0,0,0,0,0
0.92,1,1,1,3,4,19,6,4,5,141,0,0,0,0,0,0,0,0,0
0.92,0,0,2,3,4,5,3,2,1,24,0,0,0,0,1,0,0,0,1
0.92,0,1,0,3,4,21,3,4,5,82,0,0,0,0,0,0,0,0,0
0.91,1,1,0,3,3,12,6,4,3,145,0,0,0,0,0,0,0,0,0
0.92,1,1,0,3,4,10,1,2,2,206,0,0,0,0,0,0,0,0,0
0.926,1,0,1,2,2,1,7,5,1,152,0,0,0,0,0,0,0,1,0
0.926,1,1,0,5,4,21,3,4,4,42,1,0,0,0,0,0,0,0,0
0.92,1,0,0,3,4,12,3,2,4,50,0,0,0,0,1,1,0,0,1
0.884,1,0,0,3,2,3,3,2,0,106,0,0,1,0,1,0,0,1,1
0.926,0,1,2,4,4,16,5,1,2,14,0,0,0,0,0,0,0,0,0
0.924,1,1,0,2,2,4,1,4,2,36,0,0,0,0,0,0,0,1,0
0.624,1,1,0,4,4,6,2,2,1,112,1,0,0,0,0,1,0,0,0
0.666,1,0,0,3,0,9,2,4,0,108,0,0,0,0,0,1,0,0,0
0.624,1,1,1,4,4,9,6,4,3,7,1,0,0,0,0,0,0,0,0
0.624,0,0,2,4,4,5,3,2,0,26,1,0,0,0,1,0,0,0,1
0.624,1,1,0,3,4,5,3,4,0,87,1,0,0,0,0,0,0,0,0
0.92,2,1,0,3,4,19,7,1,4,52,1,0,0,0,0,0,0,0,0
0.558,1,1,0,3,0,15,3,2,5,20,1,0,0,0,1,0,0,0,1
0.923,1,1,0,3,4,11,1,4,1,21,0,0,0,0,0,0,0,0,0
0.558,1,0,0,3,4,4,3,2,1,92,1,0,0,0,1,0,0,0,1
0.666,1,1,0,3,4,10,3,4,2,102,0,0,0,0,0,0,0,0,0
0.794,1,0,0,3,1,5,7,4,5,26,0,0,0,0,0,0,0,0,0
0.924,1,1,0,4,4,3,0,2,2,7,0,0,0,0,0,1,0,0,0
0.926,1,0,2,2,2,4,7,4,1,43,0,0,0,0,0,0,0,1,0
0.924,1,1,0,3,4,21,3,4,1,45,0,0,0,0,0,0,0,0,0
0.754,1,1,2,3,4,2,2,2,2,52,0,0,0,0,0,0,0,0,0
0.92,1,1,0,3,4,21,3,2,2,19,0,0,0,0,1,0,0,0,1
0.624,1,1,2,3,4,2,1,3,2,32,1,0,0,1,0,1,0,0,0
0.767,1,1,0,3,1,21,3,4,5,26,1,0,0,0,0,0,0,0,0
0.855,1,1,1,3,4,6,3,2,1,90,0,0,0,0,1,0,0,0,1
0.939,1,1,0,3,4,6,3,4,3,25,0,0,0,0,0,0,0,0,0
0.827,1,1,1,4,4,13,0,2,1,15,0,0,0,0,0,1,1,0,1
0.887,1,1,0,4,1,21,3,4,5,48,0,0,0,0,0,0,0,0,0
0.55,1,0,2,2,2,3,3,2,2,98,0,0,0,1,1,1,0,1,1
0.865,1,1,0,3,4,10,2,4,2,142,1,0,0,0,0,0,0,0,0
0.855,2,0,0,4,1,4,7,4,4,13,0,0,0,0,0,0,0,0,0
0.91,1,1,0,3,4,15,3,2,5,47,0,0,0,0,1,0,0,0,1
0.91,0,1,0,4,1,14,4,1,1,28,0,0,0,0,0,0,0,0,0
0.698,1,0,1,3,2,2,3,4,0,228,1,0,1,0,1,1,1,1,0
0.666,1,1,0,3,4,21,3,2,4,22,0,0,0,0,1,0,0,0,1
0.624,1,0,2,3,4,0,3,2,0,18,1,0,0,0,1,0,0,0,1
0.827,1,1,0,3,4,2,1,4,1,29,0,0,0,0,0,0,0,0,0
0.855,1,1,0,4,4,5,3,2,1,46,0,0,0,0,0,0,0,0,1
0.55,1,0,2,3,4,0,3,2,0,12,0,0,0,0,1,1,0,0,1
0.92,1,1,0,3,4,5,3,4,2,17,0,0,0,0,0,1,0,0,0
0.893,1,1,0,4,4,5,2,4,2,65,0,0,0,0,0,0,0,0,0
0.92,1,0,0,3,1,3,3,4,1,35,0,0,0,0,0,0,0,0,0
0.855,1,0,2,3,4,9,7,4,3,14,0,0,0,0,0,0,0,0,0
0.92,0,1,0,4,4,2,0,2,1,4,0,0,0,0,0,0,0,0,0
0.92,1,1,0,3,4,15,2,4,5,12,0,0,0,0,0,0,0,0,0
0.92,1,1,0,3,4,21,2,4,2,108,0,0,0,0,0,0,0,0,0
0.92,1,0,0,3,4,21,3,2,1,136,0,0,0,0,1,0,0,0,1
0.92,1,1,0,3,4,5,1,2,1,27,0,0,0,0,0,0,0,0,1
0.796,1,1,1,4,4,4,2,3,1,74,0,0,0,0,0,1,0,0,0
0.884,1,1,0,3,4,15,1,2,1,86,0,0,0,0,0,0,0,0,0
0.866,0,0,1,3,4,0,1,4,2,83,0,0,0,0,0,0,0,0,0
0.92,1,0,2,2,2,4,3,2,3,75,0,0,0,0,1,1,0,1,1
0.698,1,0,2,4,4,11,3,1,2,42,0,0,0,0,1,0,0,0,0
0.92,0,1,0,3,4,6,3,2,1,332,0,0,0,0,0,0,0,0,1
0.913,1,0,2,3,4,4,3,2,2,140,0,0,0,1,1,0,0,0,1
0.91,1,0,0,2,2,3,3,2,0,182,0,0,0,0,1,0,0,1,1
0.92,0,0,0,3,1,3,3,4,1,13,1,0,0,0,0,0,0,0,0
0.682,1,1,0,3,4,5,1,4,2,172,1,0,0,0,0,1,0,0,0
0.92,1,1,0,3,4,10,3,0,1,48,0,0,0,0,0,1,0,0,0
0.802,1,1,2,3,4,9,2,4,1,33,0,0,0,0,0,0,0,0,0
0.92,1,0,2,2,2,2,3,4,1,142,0,0,0,0,0,1,0,1,0
0.579,1,0,2,3,4,2,3,4,1,34,0,0,0,0,0,1,0,0,0
0.802,1,1,0,3,4,6,2,4,2,14,1,0,0,0,0,0,0,0,0
0.55,1,1,0,3,4,6,1,4,2,27,1,0,0,0,0,0,0,0,0
0.55,1,1,0,3,4,8,3,4,1,24,1,0,0,0,0,0,0,0,0
0.878,1,0,0,4,4,21,3,2,1,150,0,0,0,0,1,1,0,0,1
0.92,0,1,0,3,4,11,4,0,5,20,0,0,0,0,0,0,0,0,0
0.92,1,1,0,3,4,5,4,2,1,140,0,0,0,0,0,1,0,0,1
0.91,1,1,0,3,4,12,6,4,1,52,0,0,0,0,0,0,0,0,0
0.939,1,1,0,3,4,21,2,4,2,160,0,0,0,0,0,0,0,0,0
0.897,1,1,0,4,4,9,6,4,2,3,0,0,0,0,0,0,0,0,0
0.624,1,1,0,3,4,2,0,4,2,2,1,0,0,0,0,0,0,0,0
0.91,1,1,0,3,4,21,5,4,5,28,0,0,0,0,0,0,0,0,0
0.754,1,1,0,3,5,21,3,2,4,46,0,0,0,0,1,0,0,0,1
0.855,1,1,0,3,4,8,2,4,1,210,0,0,0,0,0,0,0,0,0
0.926,1,1,0,3,4,10,0,4,1,36,0,0,0,0,0,0,0,0,0
0.949,1,0,2,3,4,4,3,2,1,160,1,0,0,0,1,0,0,0,1
0.624,1,1,2,3,4,2,1,0,2,101,0,0,0,0,0,0,0,0,0
0.926,1,1,0,4,4,6,2,2,1,46,0,0,0,0,0,0,0,0,1
0.925,1,1,0,3,4,21,5,4,5,19,0,0,0,0,0,0,0,0,0
0.624,1,1,0,3,4,3,3,4,2,26,1,0,0,0,0,0,0,0,0
0.698,1,1,2,3,4,7,0,0,1,90,0,0,0,0,0,1,0,0,0
0.896,1,1,0,3,4,9,0,4,4,59,0,0,0,0,0,0,0,0,0
0.92,1,1,1,3,3,10,2,3,1,260,0,0,0,0,0,0,0,0,0
0.624,0,1,0,3,4,11,2,4,5,74,0,0,0,0,0,0,0,0,0
0.91,1,1,0,5,4,21,3,4,2,20,1,0,0,0,0,0,0,0,0
0.878,1,1,0,3,4,12,3,4,2,8,0,0,0,0,0,0,0,0,0
0.92,1,1,0,3,4,6,3,4,1,131,0,0,0,0,0,0,0,0,0
0.836,1,1,2,4,4,7,3,2,1,45,0,0,0,0,1,0,0,0,1
0.693,1,1,2,3,4,11,1,4,2,109,0,0,0,0,0,0,0,0,0
0.855,1,1,0,3,1,3,3,4,1,70,0,0,0,0,0,0,0,0,0
0.92,0,1,0,3,4,21,3,0,5,17,0,0,0,0,0,0,0,0,0
0.92,0,0,0,4,4,15,2,4,1,51,0,0,0,0,0,0,0,0,0
0.92,0,1,0,3,4,6,2,4,3,60,1,0,0,0,0,0,0,0,0
0.893,1,0,0,5,4,21,5,1,5,4,0,0,0,0,0,1,0,0,0
0.926,1,0,0,3,4,12,3,4,5,7,0,0,0,0,0,0,0,0,0
0.804,1,1,0,4,4,21,3,4,3,164,0,0,0,0,0,1,0,0,0
0.666,1,1,0,3,4,20,3,2,4,290,0,0,0,0,1,0,0,0,1
0.804,1,0,0,2,2,2,0,0,0,145,0,0,0,0,0,0,0,1,0
0.92,1,0,0,5,4,10,3,2,2,70,0,1,0,1,1,1,0,0,1
0.624,1,0,0,3,2,3,3,2,1,24,0,0,1,0,1,0,0,1,1
0.92,1,0,0,4,1,3,7,4,1,133,1,0,0,0,0,0,0,0,0
0.55,1,0,2,3,4,2,3,2,1,20,0,0,0,0,1,1,0,0,1
0.92,1,1,0,3,4,10,0,3,1,76,0,0,0,0,0,0,0,0,0
0.698,0,0,2,4,4,5,3,2,4,21,1,0,0,0,1,0,0,0,1
0.624,0,1,0,3,5,8,6,4,2,34,0,0,0,0,0,0,0,0,0
0.92,1,0,0,3,4,9,0,4,2,15,0,0,0,0,0,0,0,0,0
0.866,1,0,0,3,4,21,3,2,5,156,0,0,0,0,1,0,0,0,1
0.92,1,1,0,3,4,21,6,4,5,15,0,0,0,0,0,0,0,0,0
0.926,1,1,0,4,4,21,3,2,0,120,0,0,0,0,1,1,0,0,1
0.769,1,1,0,3,0,14,7,2,5,47,0,0,0,0,0,1,0,0,1
0.754,1,1,0,3,4,12,3,2,2,100,1,0,0,0,1,0,0,0,1
0.855,1,1,1,3,4,6,4,4,0,102,0,0,0,0,0,0,0,0,0
0.92,1,0,0,2,2,4,3,2,0,52,0,0,0,0,1,0,0,1,1
0.926,1,1,0,2,2,9,1,2,4,39,0,0,0,0,0,1,0,1,1
0.92,1,1,2,2,2,4,3,2,1,112,1,0,0,0,1,0,0,1,1
0.92,1,0,0,5,4,21,2,4,5,14,0,0,0,0,0,0,0,0,0
0.91,1,1,0,3,2,11,3,2,1,4,0,0,1,0,1,1,0,1,1
0.91,1,1,0,4,2,21,5,0,5,55,0,0,0,0,0,1,0,0,0
0.624,1,1,0,3,4,6,7,4,4,49,1,0,0,0,0,0,0,0,0
0.91,1,1,0,3,4,15,3,2,5,72,0,0,0,0,1,0,0,0,1
0.925,1,1,2,3,4,14,6,4,3,141,1,0,0,0,0,0,0,0,0
0.926,1,0,0,2,2,6,3,4,0,28,0,0,0,0,1,0,0,1,0
0.92,1,1,0,3,4,13,7,4,1,6,0,0,0,0,0,0,0,0,0
0.92,1,1,0,3,0,17,6,4,1,125,0,0,0,0,0,0,0,0,0
0.939,1,1,0,3,4,21,3,2,0,326,0,0,0,0,1,1,0,0,1
0.92,1,1,0,3,5,21,3,4,2,33,0,0,0,0,0,0,0,0,0
0.804,1,0,0,4,4,6,7,4,5,40,0,0,0,0,0,1,0,0,0
0.92,1,1,0,3,4,18,3,2,1,198,1,0,0,0,1,1,0,0,1
0.92,0,1,0,4,4,15,7,4,5,55,0,0,0,0,0,0,0,0,0
0.698,1,0,0,3,4,21,4,4,5,32,0,0,0,0,0,0,0,0,0
0.92,1,1,0,3,2,21,3,4,5,11,0,0,0,0,0,0,0,0,0
0.754,1,1,0,3,4,21,0,4,1,41,0,0,0,0,0,0,0,0,0
0.92,1,1,0,4,4,21,7,1,5,87,1,0,0,0,0,0,0,0,0
0.855,1,1,0,4,4,10,3,4,4,114,0,0,0,0,0,0,0,0,0
0.698,1,1,1,3,2,21,3,2,5,33,0,0,1,0,1,1,1,1,1
0.698,1,1,1,4,4,5,0,2,1,15,0,0,0,0,0,0,0,0,0
0.91,1,0,2,2,2,3,3,2,1,8,0,0,0,0,1,1,0,1,1
0.878,0,1,1,2,2,2,3,0,1,22,0,0,0,0,0,0,0,1,0
0.92,1,1,0,4,4,21,6,4,4,13,0,0,0,0,0,0,0,0,0
0.949,1,1,0,3,4,21,0,1,1,246,0,0,0,0,0,0,0,0,0
0.92,1,1,0,4,4,9,1,4,1,22,0,0,0,0,0,0,0,0,0
0.92,1,1,0,4,4,21,0,3,1,81,0,0,0,0,0,0,0,0,0
0.776,1,1,2,3,4,4,1,3,1,11,0,0,0,0,0,1,0,0,0
0.698,1,0,2,3,4,5,6,2,2,24,1,0,0,1,0,0,0,0,1
0.92,1,1,0,3,4,21,3,3,1,50,0,0,0,0,0,0,0,0,0
0.924,1,0,2,2,2,6,3,2,0,15,0,0,0,0,1,0,0,1,1
0.939,1,1,0,4,4,21,1,4,5,31,0,0,0,0,0,0,0,0,0
0.926,1,1,0,4,4,21,2,4,0,84,0,0,0,0,0,0,0,0,0
0.897,1,1,1,3,4,4,7,4,1,42,0,0,0,0,0,0,0,0,0
0.624,1,1,0,3,4,10,1,4,5,105,1,0,0,0,0,1,0,0,0
0.92,0,1,0,3,4,21,2,4,5,72,0,0,0,0,0,0,0,0,0
0.789,1,1,0,3,4,14,1,4,5,42,1,0,0,0,0,0,0,0,0
0.698,1,1,0,3,4,15,2,2,1,152,0,0,0,0,0,0,0,0,0
0.92,1,1,0,3,4,12,7,4,1,60,0,0,0,0,0,0,0,0,0
0.624,1,0,2,4,4,2,3,2,0,8,0,0,0,0,1,0,0,0,1
0.91,1,0,2,4,4,13,3,2,3,17,1,0,0,0,1,0,0,0,1
0.923,1,0,0,2,2,1,3,2,1,33,0,0,0,0,1,0,0,1,1
0.91,1,1,0,4,4,4,3,3,0,38,0,0,0,0,0,0,0,0,0
0.92,1,1,0,3,1,14,0,2,2,178,0,0,0,0,0,0,0,0,0
0.92,1,1,0,3,4,15,2,4,1,11,0,0,0,0,0,0,0,0,0
0.893,1,1,0,2,2,21,3,2,0,87,0,0,0,0,1,0,0,1,1
0.802,1,1,0,3,4,13,3,2,0,84,0,0,0,0,1,0,0,0,1
0.884,1,1,0,3,4,21,3,2,2,32,0,0,0,0,0,0,0,0,0
0.887,1,1,0,4,4,9,3,4,1,31,1,0,0,0,0,1,0,0,0
0.624,1,0,0,3,4,2,4,1,1,39,0,0,0,0,0,0,0,0,0
0.775,1,1,0,3,4,7,1,4,1,12,0,0,0,0,0,1,0,0,0
0.624,1,1,2,3,4,5,7,4,1,50,0,0,0,0,0,1,0,0,0
0.903,1,1,0,3,4,3,3,4,1,55,1,0,0,0,0,0,0,0,0
0.55,1,1,0,3,4,5,2,4,2,7,1,0,0,1,0,1,0,0,0
0.92,1,1,0,4,1,2,2,2,1,104,0,0,0,0,0,0,0,0,0
0.92,1,1,2,3,3,21,3,2,5,90,1,0,0,0,1,1,0,0,1
0.92,1,1,0,4,5,21,3,4,5,8,0,0,0,0,0,0,0,0,0
0.624,1,0,2,3,4,2,3,2,0,102,0,0,0,0,1,0,0,0,1
0.624,1,1,0,4,4,0,1,4,1,202,1,0,0,0,0,1,0,0,0
0.555,1,1,0,3,4,4,3,4,1,22,0,0,0,0,0,1,0,0,0
0.624,1,0,2,3,4,3,3,4,0,42,0,0,0,0,1,0,0,0,0
0.92,1,0,0,1,2,4,3,4,0,50,0,0,0,0,1,1,0,1,0
0.624,1,1,0,4,4,3,2,3,1,88,0,0,0,0,0,0,0,0,0
0.754,1,1,0,3,4,5,5,4,4,81,0,0,0,0,0,1,0,0,0
0.92,1,1,0,4,4,21,7,4,1,7,0,0,0,0,0,0,0,0,0
0.624,1,0,0,3,2,3,3,4,0,218,0,0,1,0,1,0,0,1,0
0.91,1,1,0,3,4,21,7,4,5,62,0,0,0,0,0,0,0,0,0
0.92,1,1,0,3,4,6,2,4,1,83,0,0,0,0,0,0,0,0,0
0.939,1,1,0,3,4,9,5,4,5,11,0,0,0,0,0,0,0,0,0
0.926,1,0,1,5,4,21,2,2,5,10,0,0,0,0,0,0,0,0,1
0.939,1,1,0,4,4,10,5,4,1,114,0,0,0,0,0,0,0,0,0
0.624,1,1,0,4,4,3,2,4,1,36,0,0,0,0,0,1,0,0,0
0.804,1,0,1,4,4,6,1,4,1,17,0,0,0,0,0,1,1,0,0
0.91,1,0,2,3,4,2,3,2,0,80,1,0,0,0,1,0,0,0,1
0.92,1,1,1,3,4,21,2,1,5,108,0,0,0,0,0,0,0,0,0
0.92,1,1,0,3,4,2,3,4,2,45,0,0,0,0,0,0,0,0,0
0.92,1,0,2,3,4,5,3,2,0,77,0,0,0,0,1,0,0,0,1
0.926,1,1,0,4,4,15,3,4,2,8,0,0,0,0,0,0,0,0,0
0.878,1,0,0,3,4,5,3,2,1,28,0,0,0,0,1,1,0,0,1
0.727,0,1,0,3,4,9,3,3,5,37,0,0,0,0,0,0,0,0,0
0.91,1,0,2,3,4,2,3,2,2,108,1,0,0,0,1,1,0,0,1
0.92,1,1,0,3,4,13,4,4,2,162,0,0,0,0,0,0,0,0,0
0.754,1,1,2,2,2,9,3,2,5,41,0,0,0,0,1,1,0,1,1
0.903,1,1,0,4,4,19,3,4,4,4,0,0,0,0,0,0,0,0,0
0.884,0,0,0,5,4,3,5,1,1,41,0,0,0,0,0,0,0,0,0
0.903,1,1,0,3,4,17,7,4,2,12,0,0,0,0,0,1,0,0,0
0.92,1,1,0,3,4,21,2,4,1,190,0,0,0,0,0,0,0,0,0
0.624,1,1,0,3,4,7,2,4,5,29,1,0,0,0,0,1,0,0,0
0.92,1,1,0,3,4,6,3,1,1,11,0,0,0,0,0,0,0,0,0
0.92,1,0,2,2,2,3,7,4,1,30,0,0,0,0,0,0,0,1,0
0.92,1,1,0,4,4,13,3,2,5,39,0,0,0,0,0,0,0,0,1
0.804,1,1,2,2,2,9,3,2,1,16,0,0,0,0,1,0,0,1,1
0.926,1,0,0,3,4,21,2,4,5,5,0,0,0,0,0,0,0,0,0
0.698,1,0,2,2,2,8,3,2,0,39,0,0,0,0,1,0,0,1,1
0.926,1,1,0,4,4,10,2,4,5,29,0,0,0,0,0,0,0,0,0
0.624,1,1,2,4,4,4,2,0,2,210,0,0,0,0,0,1,0,0,0
0.92,2,0,1,2,2,6,2,3,1,54,0,0,0,0,0,0,0,1,0
0.92,1,1,0,3,4,9,2,4,3,44,0,0,0,0,0,0,0,0,0
0.92,1,1,0,3,4,21,5,0,5,74,0,0,0,0,0,0,0,0,0
0.624,1,1,0,4,4,6,1,4,1,8,1,0,0,0,0,0,0,0,0
0.624,1,0,2,3,4,7,3,2,0,20,1,0,0,0,1,1,0,0,1
0.92,1,1,0,3,4,3,4,4,1,162,0,0,0,0,0,0,0,0,0
0.893,1,0,0,3,3,2,2,4,1,110,0,0,0,0,0,1,0,0,0
0.762,2,1,1,2,2,3,1,4,1,262,0,0,0,0,0,0,0,1,0
0.836,1,1,0,4,4,14,3,2,1,6,0,0,0,0,1,0,0,0,1
0.666,1,1,1,3,4,9,1,4,1,19,1,0,0,0,0,0,0,0,0
0.666,2,0,0,3,4,21,2,4,5,23,1,0,0,0,0,0,0,0,0
0.624,1,0,1,3,4,0,3,2,1,107,1,0,0,0,1,0,1,0,1
0.897,1,1,0,4,4,15,7,2,5,134,0,0,0,0,0,0,0,0,1
0.926,1,1,0,4,4,11,1,2,1,40,0,0,0,0,0,0,0,0,0
0.884,1,1,0,3,4,12,2,4,1,11,0,0,0,0,0,0,0,0,0
0.92,1,1,0,3,4,11,3,2,3,102,0,0,0,0,1,0,0,0,1
0.624,1,0,2,3,4,2,3,2,0,100,0,0,0,0,1,0,0,0,1
0.923,1,0,0,4,4,3,7,4,0,30,0,0,0,0,0,0,0,0,0
0.92,1,0,0,2,2,5,3,2,1,20,1,0,0,0,1,1,0,1,1
0.92,1,1,0,3,4,14,5,4,3,4,0,0,0,0,0,1,0,0,0
0.91,1,0,0,1,2,5,3,2,0,15,0,0,0,0,1,1,0,1,1
0.624,1,0,0,3,4,0,3,2,1,14,1,0,0,0,1,0,0,0,1
0.923,1,0,0,1,2,1,3,4,0,103,0,0,0,0,1,0,0,1,0
0.92,1,1,1,3,4,5,5,1,2,40,0,0,0,0,0,0,0,0,0
0.91,1,1,0,5,4,21,3,4,2,27,0,0,0,0,0,0,0,0,0
0.926,1,0,0,2,2,10,3,4,5,46,0,0,0,0,0,0,0,1,0
0.926,1,1,0,2,2,7,2,4,5,110,0,0,0,0,0,0,0,1,0
0.92,1,1,0,3,4,13,2,3,1,96,0,0,0,0,0,0,0,0,0
0.92,1,1,0,3,4,5,7,4,2,57,0,0,0,0,0,1,0,0,0
0.92,1,1,2,3,4,6,3,2,1,240,0,0,0,0,1,0,0,0,1
0.949,1,1,0,3,4,4,2,3,4,42,0,0,0,0,0,0,0,0,0
0.939,1,1,0,4,4,7,3,2,1,16,1,0,0,0,1,0,0,0,1
0.64,1,1,0,3,4,21,2,4,0,40,1,0,0,0,0,0,0,0,0
0.92,1,1,0,3,4,5,3,3,2,94,0,0,0,0,0,0,0,0,0
0.794,1,0,0,3,4,9,6,4,1,160,0,0,0,0,0,1,0,0,0
0.878,1,0,1,3,4,10,1,2,1,25,0,0,0,0,0,0,0,0,0
0.516,1,1,0,3,4,9,0,2,1,11,0,0,0,0,0,0,0,0,0
0.878,1,1,0,2,2,0,3,4,1,29,0,0,0,0,0,1,0,1,0
0.698,1,1,0,3,4,8,3,2,1,23,0,0,0,0,1,0,0,0,1
0.727,1,1,0,3,4,10,1,4,2,113,0,0,0,0,0,0,0,0,0
0.754,1,1,0,3,4,15,3,2,2,56,0,0,0,0,1,1,0,0,1
0.924,1,0,2,3,4,2,3,2,1,39,1,0,0,0,1,0,0,0,1
0.92,1,0,0,3,4,2,5,4,1,20,0,0,0,0,0,1,0,0,0
0.92,1,1,2,3,4,21,7,4,1,40,0,0,0,0,0,0,0,0,0
0.92,1,1,0,4,4,21,0,4,5,56,0,0,0,0,0,0,0,0,0
0.555,1,0,2,3,4,4,3,2,1,106,0,0,0,0,1,1,0,0,1
0.926,1,1,1,3,4,19,4,4,2,64,0,0,0,0,0,0,0,0,0
0.754,1,1,0,3,4,5,7,4,1,51,0,0,0,0,0,0,0,0,0
0.855,0,1,2,3,4,6,5,4,2,41,0,0,0,0,0,0,0,0,0
0.92,1,1,0,3,4,20,3,4,5,150,0,0,0,0,0,1,0,0,0
0.579,1,1,0,3,4,4,1,4,1,320,0,0,0,0,0,0,0,0,0
0.897,1,1,0,4,4,7,3,2,0,20,0,0,0,0,1,0,0,0,1
0.624,1,0,2,3,2,4,5,4,1,9,1,0,1,0,0,0,0,1,0
0.804,1,1,2,3,4,9,6,4,1,74,0,0,0,0,0,0,0,0,0
0.624,1,1,0,4,4,3,3,1,1,129,1,0,0,0,1,0,0,0,0
0.855,0,1,0,4,4,10,3,2,1,42,0,0,0,0,1,0,0,0,1
0.913,1,0,0,2,2,2,3,4,0,58,0,0,0,0,0,1,0,1,0
0.92,1,0,2,2,2,3,3,2,1,126,1,0,0,0,1,0,0,1,1
0.92,1,0,0,2,2,4,3,2,1,45,1,0,0,0,1,1,0,1,1
0.923,1,1,0,3,4,21,1,4,5,166,0,0,0,0,0,0,0,0,0
0.913,1,1,0,3,4,2,2,4,1,110,0,0,0,0,0,0,0,0,0
0.92,1,1,2,3,4,21,3,2,1,37,0,0,0,0,1,0,0,0,1
0.804,0,1,1,3,4,2,3,2,1,95,1,0,0,0,1,0,0,0,1
0.92,1,1,0,3,4,21,3,2,5,29,1,0,0,0,1,0,0,0,1
0.926,1,1,0,4,4,21,2,4,5,31,0,0,0,0,0,0,0,0,0
0.743,1,0,2,4,4,11,2,4,5,97,0,0,0,0,0,0,0,0,0
0.926,1,0,0,1,2,3,3,2,0,16,0,0,0,0,1,0,0,1,1
0.92,1,0,0,1,2,4,3,2,0,14,0,0,0,0,1,0,0,1,1
0.804,1,1,0,5,4,21,3,4,5,206,0,0,0,0,0,0,0,0,0
0.92,0,1,0,3,4,2,1,3,1,204,0,0,0,0,0,0,0,0,0
0.92,1,1,0,4,4,18,7,4,2,116,0,0,0,0,0,0,0,0,0
0.804,1,1,0,4,4,16,3,4,4,161,0,0,0,0,0,1,0,0,0
0.92,1,1,0,3,4,21,3,2,5,25,1,0,0,0,1,0,0,0,1
0.92,1,1,0,3,4,18,4,4,5,94,0,0,0,0,0,1,0,0,0
0.92,1,1,0,3,4,15,7,4,5,16,0,0,0,0,0,1,0,0,0
0.698,1,1,2,4,4,15,3,2,1,100,0,0,0,0,1,0,0,0,1
0.92,1,1,0,3,4,20,7,4,0,107,0,0,0,0,0,0,0,0,0
0.769,1,1,1,4,4,11,3,2,1,17,0,0,0,0,1,0,0,0,1
